coord,lon,lat,height,road_id,vegklasse,name,kommentar,is_real,is_generated,fiber_kabel,TK_kabel,uten_raate,tre_stolpe,staal_stolpe,LED,halogen,build_weight,build_weight4
[6.87642035e+05 7.77927719e+06 6.34217800e+00],19.932764959830333,70.05206002708236,6.342178,568807608_C4FBD7,0.5993999999999999,30.18,,1,0,0,0,0,1,0,0,1,0.19294192269815838,0.24293716793257644
[6.87597165e+05 7.77926969e+06 6.08575300e+00],19.931574969648537,70.05202553733221,6.085753,568807608_C4FBD7,0.5993999999999999,30.19,,1,0,0,0,0,1,0,1,0,0.28492344989978163,0.3454309466088073
[6.87552453e+05 7.77926235e+06 6.11355100e+00],19.93038945740932,70.05199235717268,6.113551,568807608_C4FBD7,0.5993999999999999,30.20,,1,0,0,0,0,1,0,0,1,0.27369885899204344,0.3293125252576639
[6.87505926e+05 7.77925455e+06 5.51422800e+00],19.92915550059224,70.05195643227651,5.514228,568807608_C4FBD7,0.5993999999999999,30.21,,1,0,0,0,0,1,0,1,0,0.1531342746673819,0.18420991708182877
[6.87456341e+05 7.77924645e+06 6.57915700e+00],19.92784085624391,70.05191994032866,6.579157,568807608_C4FBD7,0.5993999999999999,30.22,,1,0,0,0,0,1,0,0,1,0.10055266577346138,0.11590019548573689
[6.87406931e+05 7.77923814e+06 7.68770300e+00],19.926530391209415,70.05188148680996,7.687703,568807608_C4FBD7,0.5993999999999999,30.23,,1,0,0,0,0,1,0,0,1,0.14018722364209096,0.15484870692465688
[6.87356681e+05 7.77922990e+06 8.28553600e+00],19.92519807805475,70.05184423680652,8.285536,568807608_C4FBD7,0.5993999999999999,30.24,,1,0,0,1,0,1,0,0,1,0.1187828482960846,0.1299874090696557
[6.87311081e+05 7.77921741e+06 8.01928600e+00],19.923978439199793,70.05176559670461,8.019286,568807608_C4FBD7,0.5993999999999999,30.25,,1,0,0,1,0,1,0,0,1,0.060251897933799724,0.06750275260180919
[6.87267307e+05 7.77920527e+06 8.69237700e+00],19.922807346801612,70.0516888672007,8.692377,568807608_C4FBD7,0.5993999999999999,30.26,,1,0,0,1,0,1,0,0,1,0.07829589572233132,0.09580744371349303
[6.87222321e+05 7.77919273e+06 9.26192500e+00],19.921603674211326,70.05160938925441,9.261925,568807608_C4FBD7,0.5993999999999999,30.27,STROM TIL BAKKE,1,0,0,1,0,1,0,0,1,0.16523675353818776,0.20376742617032137
[6.87182473e+05 7.77917314e+06 1.03211550e+01],19.92051955290057,70.0514631785961,10.321155,568807608_C4FBD7,0.5993999999999999,30.28,,1,0,0,0,0,1,0,0,1,0.2118643387786096,0.2580563308490596
[6.87142842e+05 7.77914744e+06 1.06304440e+01],19.919428134408385,70.05126215258393,10.630444,568807608_C4FBD7,0.5993999999999999,30.29,,1,0,0,0,0,1,0,0,1,0.2131850668897429,0.24590857814278164
[6.87105223e+05 7.77912357e+06 8.15413300e+00],19.918393320653824,70.05107613640178,8.154133,568807608_C4FBD7,0.5993999999999999,30.30,STROM TIL BAKKE,1,0,0,1,1,1,0,0,1,0.23779507178504947,0.24549985909122865
[6.87066260e+05 7.77909872e+06 6.72433400e+00],19.917321256413974,70.05088225785973,6.724334,568807608_C4FBD7,0.5993999999999999,30.31,,1,0,0,1,0,1,0,0,1,0.3149641953115372,0.3004891624996121
[6.87029536e+05 7.77907544e+06 6.84887800e+00],19.916311104108814,70.05070080239506,6.848878,568807608_C4FBD7,0.5993999999999999,30.32,,1,0,1,1,0,1,0,0,1,0.32189871443375734,0.31334318054715476
[6.86991714e+05 7.77905147e+06 5.87518600e+00],19.915270785960274,70.05051395874952,5.875186,568807608_C4FBD7,0.5993999999999999,30.33,STROM TIL BAKKE,1,0,1,2,0,1,0,0,1,0.26571211539397804,0.2809880468495313
[6.86955344e+05 7.77902848e+06 5.01477700e+00],19.914270556482265,70.05033481587488,5.014777,568807608_C4FBD7,0.5993999999999999,30.34,,1,0,1,2,0,1,0,1,0,0.23040703159755813,0.259597849966235
[6.86912267e+05 7.77900117e+06 4.97755600e+00],19.91308574129252,70.05012197945258,4.977556,568807608_C4FBD7,0.5993999999999999,30.35,,1,0,1,2,0,1,0,0,1,0.15969819455772982,0.1844882173067569
[6.86878148e+05 7.77897964e+06 4.78177500e+00],19.912147506817096,70.04995417442728,4.781775,568807608_C4FBD7,0.5993999999999999,30.36,STROM X2 TIL BAKKE,1,0,1,2,0,1,0,1,0,0.09365914964035417,0.10724038698117114
[6.86843754e+05 7.77895557e+06 5.46170100e+00],19.911196767728416,70.04976398472301,5.461701,568807608_C4FBD7,0.5993999999999999,30.37,,1,0,1,1,0,1,0,1,0,0.07558337211574999,0.08339175944022825
[6.86808704e+05 7.77892643e+06 5.61995400e+00],19.91021814015996,70.04952892496563,5.619954,568807608_C4FBD7,0.5993999999999999,30.38,,1,0,1,1,0,1,0,1,0,0.128775951120406,0.14342713877451338
[6.86772065e+05 7.77889582e+06 6.23886000e+00],19.909194883860504,70.04928192227165,6.23886,568807608_C4FBD7,0.5993999999999999,30.39,,1,0,1,1,0,1,0,0,1,0.16466355777425584,0.1930956754265948
[6.86736725e+05 7.77886638e+06 7.35899700e+00],19.90820808037764,70.04904436535412,7.358997,568807608_C4FBD7,0.5993999999999999,30.40,,1,0,0,1,0,1,0,1,0,0.16916512748596912,0.20713418999965688
[6.86705937e+05 7.77883634e+06 5.64434000e+00],19.907339166852495,70.04879820169593,5.64434,568807608_C4FBD7,0.5993999999999999,30.41,,1,0,0,1,0,1,0,0,1,0.1371545627617947,0.16792755701633916
[6.86669667e+05 7.77880686e+06 5.06773200e+00],19.90632799773924,70.04856094241998,5.067732,568807608_C4FBD7,0.5993999999999999,30.42,,1,0,0,1,0,1,0,1,0,0.10533888230232921,0.12334612783565121
[6.86635436e+05 7.77878018e+06 5.45535800e+00],19.905376092968787,70.04834725208316,5.455358,568807608_C4FBD7,0.5993999999999999,30.43,2X STROM TIL BAKKE,1,0,0,1,0,1,0,1,0,0.07998080803149724,0.09179881988567468
[6.86594054e+05 7.77876248e+06 6.05154300e+00],19.90425609024802,70.04821895330156,6.051543,568807608_C4FBD7,0.5993999999999999,30.44,,1,0,0,0,0,1,0,1,0,0.06105263910600707,0.06955261451131507
[6.86552879e+05 7.77874463e+06 6.26954800e+00],19.903141217017982,70.04808913126843,6.269548,568807608_C4FBD7,0.5993999999999999,30.45,,1,0,0,0,0,1,0,1,0,0.06134054727403445,0.06687291412176448
[6.86508408e+05 7.77873197e+06 5.75887500e+00],19.901951052273947,70.04800804885991,5.758875,568807608_C4FBD7,0.5993999999999999,30.46,,1,0,0,0,0,1,0,0,1,0.12291940633821076,0.1349744088119126
[6.86464144e+05 7.77871912e+06 5.12028900e+00],19.900765910354394,70.04792506793959,5.120289,568807608_C4FBD7,0.5993999999999999,30.47,,1,0,1,1,0,1,0,1,0,0.19619881925950267,0.22785432285646906
[6.86421624e+05 7.77870663e+06 4.73561600e+00],19.899627151721393,70.04784410088581,4.735616,568807608_C4FBD7,0.5993999999999999,30.48,,1,0,0,1,0,1,0,0,1,0.23402546261554705,0.2853899654408064
